failure_flag,RUL,health_state,cooler_failure,valve_failure,pump_failure,hydraulic_failure,maintenance_score
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
1,0,2,1,1,0,1,0.7804118889004683
